Statistical profiling result from isolate-0x5b12700-84437-v8.log, (4845 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5  100.0%          LazyCompile: ~pushSource /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
      5  100.0%            LazyCompile: ~append /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:394:26
      4    5.3%        LazyCompile: ~header /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:754:29
      3   75.0%          LazyCompile: ~contentType /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:594:32
      3  100.0%            LazyCompile: ~send /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:107:25
      1   25.0%          LazyCompile: ~send /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: ~done /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:1006:27
      3    4.0%        LazyCompile: ~parseAcceptEncoding /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/negotiator/lib/encoding.js:31:29
      3  100.0%          LazyCompile: ~preferredEncodings /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/negotiator/lib/encoding.js:138:28
      3  100.0%            LazyCompile: ~encodings /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/negotiator/index.js:55:52
      3    4.0%        LazyCompile: ~parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:271:16
      3  100.0%          /usr/bin/node
      3  100.0%            LazyCompile: ~<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:181:26
      3    4.0%        LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:271:16
      3  100.0%          /usr/bin/node
      3  100.0%            LazyCompile: ~<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:181:26
      2    2.7%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:290:21
      2  100.0%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:321:26
      2  100.0%            LazyCompile: ~trySelf node:internal/modules/cjs/loader:441:17
      2    2.7%        LazyCompile: ~pipe /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/send/index.js:510:43
      2  100.0%          LazyCompile: ~serveStatic /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/serve-static/index.js:72:31
      2  100.0%            LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      2    2.7%        LazyCompile: ~finish /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/glob/common.js:116:17
      2  100.0%          LazyCompile: ~Glob._finish /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/glob/glob.js:186:35
      2  100.0%            LazyCompile: ~done /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/glob/glob.js:172:17
      2    2.7%        LazyCompile: ~createError /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/http-errors/index.js:48:22
      2  100.0%          LazyCompile: ~error /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/send/index.js:267:45
      2  100.0%            LazyCompile: ~onStatError /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/send/index.js:416:57
      2    2.7%        LazyCompile: ~checkInvalidHeaderChar node:_http_common:232:32
      2  100.0%          LazyCompile: ~<anonymous> node:_http_outgoing:561:45
      2  100.0%            LazyCompile: ~setHeader node:_http_outgoing:571:57
      2    2.7%        LazyCompile: ~FastBuffer node:internal/buffer:958:14
      1   50.0%          LazyCompile: ~randomBytes node:internal/crypto/random:90:21
      1  100.0%            LazyCompile: ~randomBytesSync /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/random-bytes/index.js:72:25
      1   50.0%          LazyCompile: ~createUnsafeBuffer node:internal/buffer:1059:28
      1  100.0%            LazyCompile: ~allocUnsafeSlow node:buffer:382:50
      2    2.7%        LazyCompile: ~<anonymous> node:internal/fs/utils:357:35
      2  100.0%          LazyCompile: ~<anonymous> node:internal/fs/utils:668:38
      2  100.0%            LazyCompile: ~<anonymous> node:internal/fs/utils:680:42
      2    2.7%        LazyCompile: ~<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/core/connection/connect.js:87:41
      2  100.0%          LazyCompile: ~prepareHandshakeDocument /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/core/connection/connect.js:159:34
      2  100.0%            LazyCompile: ~performInitialHandshake /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/core/connection/connect.js:70:33
      2    2.7%        LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      2  100.0%          LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      2  100.0%            LazyCompile: ~parseWithoutProcessing /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      1    1.3%        LazyCompile: ~wrapHelpersToPassLookupProperty /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:359:41
      1  100.0%          LazyCompile: ~ret._setup /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:217:25
      1  100.0%            LazyCompile: ~ret /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
      1    1.3%        LazyCompile: ~unfqdn node:tls:149:16
      1  100.0%          LazyCompile: ~splitHost node:tls:159:19
